Experiment	Date	Time	Duration	Site	Incubation	Treatment	Sample	Timepoint 	pH	Oxygen	Leaf.DW	Epiphyte.DW
Nitrification	16.09.19	21:29	5.48	Vent	Light	N	2	T2 	#NV	410	0.021	#NV
Nitrification	16.09.19	21:30	5.5	Vent	Light	N	3	T2 	7.56	400	0.017	#NV
Nitrification	16.09.19	22:10	6.17	Vent	Dark	Y	1	T2 	7.12	126	0.016	0.011
Nitrification	16.09.19	22:16	6.27	Vent	Dark	Y	2	T2 	7.11	146	0.019	0.006
Nitrification	16.09.19	22:18	6.3	Vent	Dark	Y	3	T2 	#NV	180	0.018	0.007
Nitrification	16.09.19	22:20	6.33	Vent	Dark	Y	4	T2 	#NV	141	0.018	0.009
Nitrification	16.09.19	22:23	6.38	Vent	Dark	N	1	T2 	7.16	192	0.017	#NV
Nitrification	16.09.19	22:29	6.48	Vent	Dark	N	2	T2 	7.15	178	0.016	#NV
Nitrification	16.09.19	22:32	6.53	Vent	Dark	N	3	T2 	7.13	179	0.013	#NV
Nitrification	16.09.19	22:41	6.68	Ambient 	Light	Y	1	T2 	8.36	637	0.022	0.037
Nitrification	16.09.19	22:43	6.72	Ambient 	Light	Y	2	T2 	#NV	558	0.019	0.032
Nitrification	16.09.19	22:45	6.75	Ambient 	Light	Y	3	T2 	#NV	618	0.02	0.022
Nitrification	16.09.19	22:47	6.78	Ambient 	Light	Y	4	T2 	8.47	665	0.028	0.023
Nitrification	16.09.19	22:50	6.83	Ambient 	Light	N	1	T2 	8.39	500	0.02	#NV
Nitrification	16.09.19	22:57	6.95	Ambient 	Light	N	2	T2 	#NV	426	0.016	#NV
Nitrification	16.09.19	22:54	6.9	Ambient 	Light	N	3	T2 	8.34	509	0.026	#NV
Nitrification	16.09.19	21:46	5.77	Ambient 	Dark	Y	1	T2 	7.94	175	0.021	0.019
Nitrification	16.09.19	21:48	5.8	Ambient 	Dark	Y	2	T2 	7.95	153	0.033	0.025
Nitrification	16.09.19	21:54	5.9	Ambient 	Dark	Y	3	T2 	#NV	153	0.023	0.025
Nitrification	16.09.19	21:56	5.93	Ambient 	Dark	Y	4	T2 	#NV	155	0.021	0.024
Nitrification	16.09.19	21:58	5.97	Ambient 	Dark	N	1	T2 	7.95	174	0.02	#NV
Nitrification	16.09.19	22:00	6	Ambient 	Dark	N	2	T2 	#NV	179	0.024	#NV
Nitrification	16.09.19	22:02	6.03	Ambient 	Dark	N	3	T2 	7.95	170	0.016	#NV
Nitrification	16.09.19	22:05	6.08	Ambient 	Dark	C	1	T2 	#NV	225	#NV	#NV
Nitrification	16.09.19	22:07	6.12	Ambient 	Dark	C	2	T2 	8.07	226	#NV	#NV
Nitrification	16.09.19	21:34	5.57	Vent	Light	C	1	T2	7.25	231	#NV	#NV
Nitrification	16.09.19	21:37	5.62	Vent	Light	C	2	T2	#NV	232	#NV	#NV
Nitrification	16.09.19	21:39	5.65	Vent	Light	C	3	T2	7.2	232	#NV	#NV
Nitrification	16.09.19	22:35	6.58	Vent	Dark	C	1	T2 	#NV	227	#NV	#NV
Nitrification	16.09.19	22:36	6.6	Vent	Dark	C	2	T2 	#NV	228	#NV	#NV
Nitrification	16.09.19	23:01	7.02	Ambient 	Light	C	1	T2 	#NV	229	#NV	#NV
Nitrification	16.09.19	23:02	7.03	Ambient 	Light	C	2	T2 	#NV	230	#NV	#NV
