sample	site	incubation	treat	time	h	replicate	label	N	C	CN
Epi	Vent	light	Y	T1	5	2	Fix_A_L_T1_+Epi_b	1.443454318	18.39764321	14.86982775
Epi	Vent	light	Y	T1	5	3	Fix_A_L_T1_+Epi_c	1.462923187	23.63268185	18.84682833
Epi	Vent	light	Y	T1	5	4	Fix_A_L_T1_+Epi_d	1.248146163	22.56342982	21.09047981
Epi	Vent	light	Ctrl	T1	5	1	Fix_A_L_T1_C1	1.344939168	23.30595535	20.21673685
Epi	Vent	light	Ctrl	T1	5	2	Fix_A_L_T1_C2	1.825340591	25.09506879	16.03951635
Epi	Vent	dark	Y	T1	5	1	Fix_A_D_T1_+Epi_a	1.596660422	24.07205937	17.58925622
Epi	Vent	dark	Y	T1	5	2	Fix_A_D_T1_+Epi_c	2.075136253	26.53472065	14.91814045
Epi	Vent	dark	Y	T1	5	3	Fix_A_D_T1_+Epi_d	1.955648266	25.27370929	15.07735041
Epi	Vent	dark	Ctrl	T1	5	1	Fix_A_D_T1_C1	1.918341869	25.56174036	15.54573296
Epi	Vent	dark	Ctrl	T1	5	2	Fix_A_D_T1_C2	2.096738642	20.33927595	11.31717363
Epi	Vent	dark	Ctrl	T1	5	3	Fix_A_D_T1_C3	1.463859113	26.10097748	20.80196114
Epi	Vent	light	Ctrl	T1	5	3	Fix_A_L_T1_C3_	2.01852176	22.91888956	13.24667636
Epi	Vent	light	Y	T2	18	1	Fix_A_L_T2_+Epi_a	2.132884936	24.97556845	13.66138543
Epi	Vent	light	Y	T2	18	2	Fix_A_L_T2_+Epi_b	1.611362959	18.23691536	13.20397812
Epi	Vent	light	Y	T2	18	3	Fix_A_L_T2_+Epi_c	1.274702737	22.63450616	20.71614275
Epi	Vent	light	Y	T2	18	4	Fix_A_L_T2_+Epi_d	1.974689912	17.31645505	10.23073586
Epi	Vent	light	Ctrl	T2	18	1	Fix_A_L_T2_C1	2.264384201	17.22286631	8.873646098
Epi	Vent	light	Ctrl	T2	18	3	Fix_A_L_T2_C3	1.729661178	17.86335958	12.0489414
Epi	Vent	dark	Y	T2	18	1	Fix_A_D_T2_+Epi_a	1.72469491	22.19378681	15.01294584
Epi	Vent	dark	Y	T2	18	2	Fix_A_D_T2_+Epi_b	1.669119029	18.30487259	12.79458464
Epi	Vent	dark	Y	T2	18	3	Fix_A_D_T2_+Epi_c	1.154319383	18.10036513	18.29397736
Epi	Vent	dark	Y	T2	18	4	Fix_A_D_T2_+Epi_d	2.237192334	21.36207286	11.14004279
Epi	Vent	dark	Ctrl	T2	18	1	Fix_A_D_T2_C1	1.779899649	26.83842423	17.59171926
Epi	Vent	dark	Ctrl	T2	18	2	Fix_A_D_T2_C2	2.04333013	19.56179521	11.16906861
Epi	Vent	dark	Ctrl	T2	18	3	Fix_A_D_T2_C3	1.399727406	15.65909597	13.05178796
Epi	Ambient	start	Y	T0	0	1	Fix_C_+Epi_T0_a	0.997218391	16.50298445	19.3071869
Epi	Ambient	start	Y	T0	0	2	Fix_C_+Epi_T0_b	1.027497024	18.24748893	20.71902555
Epi	Ambient	start	Y	T0	0	3	Fix_C_+Epi_T0_c	0.864180489	16.97145763	22.91191963
Epi	Ambient	start	Y	T0	0	4	Fix_C_+Epi_T0_d	0.958276709	17.40715084	21.19256626
Epi	Ambient	start	Y	T0	0	5	Fix_C_+Epi_T0_e	0.912746342	17.8501732	22.81597977
Epi	Ambient	start	Y	T0	0	6	Fix_C_+Epi_T0_f	0.57430424	15.74531111	31.98571133
Epi	Ambient	start	Y	T0	0	7	Fix_C_+Epi_T0_g	1.241275616	18.93984919	17.80143784
Epi	Ambient	start	Y	T0	0	8	Fix_C_+Epi_T0_h	0.642846669	16.20698229	29.4131508
Epi	Ambient	start	Y	T0	0	9	Fix_C_+Epi_T0_i	1.048592789	18.97913051	21.11622277
Epi	Ambient	start	Y	T0	0	10	Fix_C_+Epi_T0_j	0.657531902	17.10826117	30.35539111
Epi	Ambient	light	Y	T1	5	1	Fix_C_L_T1_+Epi_a	0.669952372	16.80762147	29.26908319
Epi	Ambient	light	Y	T1	5	2	Fix_C_L_T1_+Epi_b	0.766473394	17.76911352	27.04677371
Epi	Ambient	light	Y	T1	5	3	Fix_C_L_T1_+Epi_c	1.186630349	17.68454106	17.38701913
Epi	Ambient	light	Y	T1	5	4	Fix_C_L_T1_+Epi_d	0.835927767	18.13427474	25.30918903
Epi	Ambient	light	Ctrl	T1	5	1	Fix_C_L_T1_C1	0.786543729	18.24396003	27.06094937
Epi	Ambient	light	Ctrl	T1	5	2	Fix_C_L_T1_C2	0.598185861	14.06556493	27.432654
Epi	Ambient	light	Ctrl	T1	5	3	Fix_C_L_T1_C3	0.849391688	18.99522731	26.09055261
Epi	Ambient	dark	Y	T1	5	1	Fix_C_D_T1_+Epi_a	0.555324349	15.86611516	33.33271397
Epi	Ambient	dark	Y	T1	5	2	Fix_C_D_T1_+Epi_b	1.249648886	18.84141831	17.5902647
Epi	Ambient	dark	Y	T1	5	3	Fix_C_D_T1_+Epi_c	0.775784931	15.44852274	23.23231068
Epi	Ambient	dark	Y	T1	5	4	Fix_C_D_T1_+Epi_d	0.856017525	17.69840129	24.12115902
Epi	Ambient	dark	Ctrl	T1	5	1	Fix_C_D_T1_C1	0.822085501	19.13602985	27.15699054
Epi	Ambient	dark	Ctrl	T1	5	2	Fix_C_D_T1_C2	1.34791517	25.46959575	22.04480596
Epi	Ambient	dark	Ctrl	T1	5	3	Fix_C_D_T1_C3	0.849461291	19.19574251	26.36380629
Epi	Ambient	light	Y	T2	18	1	Fix_C_L_T2_+Epi_a	0.920288704	18.88972123	23.94684191
Epi	Ambient	light	Y	T2	18	2	Fix_C_L_T2_+Epi_b	0.760152856	17.29984852	26.55144482
Epi	Ambient	light	Y	T2	18	3	Fix_C_L_T2_+Epi_c	0.997965489	19.8142061	23.16370058
Epi	Ambient	light	Y	T2	18	4	Fix_C_L_T2_+Epi_d	0.889849888	18.54545933	24.31462823
Epi	Ambient	light	Ctrl	T2	18	1	Fix_C_L_T2_C1	0.765617336	19.12593666	29.14457618
Epi	Ambient	light	Ctrl	T2	18	2	Fix_C_L_T2_C2	0.896325985	19.86757849	25.85983444
Epi	Ambient	light	Ctrl	T2	18	3	Fix_C_L_T2_C3	0.965641891	21.07772375	25.46562856
Epi	Ambient	dark	Y	T2	18	1	Fix_C_D_T2_+Epi_a	0.818757039	18.55809999	26.44388462
Epi	Ambient	dark	Y	T2	18	2	Fix_C_D_T2_+Epi_b	1.033581392	20.15034919	22.74493416
Epi	Ambient	dark	Y	T2	18	3	Fix_C_D_T2_+Epi_c	0.650018278	17.37866387	31.19159653
Epi	Ambient	dark	Y	T2	18	4	Fix_C_D_T2_+Epi_d	1.005439569	18.34854309	21.29082072
Epi	Ambient	dark	Ctrl	T2	18	1	Fix_C_D_T2_C1	0.710528344	17.71202643	29.08262704
Epi	Ambient	dark	Ctrl	T2	18	2	Fix_C_D_T2_C2	1.352735307	19.73902352	17.02392231
Epi	Ambient	dark	Ctrl	T2	18	3	Fix_C_D_T2_C3	0.801146901	18.30412837	26.65530678
